"Step","20251214-2025-12-06-train-celeba-jem-pareto-for-demo-64 - train_CD_loss","20251214-2025-12-06-train-celeba-jem-pareto-for-demo-64 - train_CD_loss__MIN","20251214-2025-12-06-train-celeba-jem-pareto-for-demo-64 - train_CD_loss__MAX"
"0","0.6999597549438477","0.6999597549438477","0.6999597549438477"
"1","0.39161157608032227","0.39161157608032227","0.39161157608032227"
"2","0.0844721794128418","0.0844721794128418","0.0844721794128418"
"3","0.5920438766479492","0.5920438766479492","0.5920438766479492"
"4","0.6375308036804199","0.6375308036804199","0.6375308036804199"
"6","0.06985664367675781","0.06985664367675781","0.06985664367675781"
"7","1.268913745880127","1.268913745880127","1.268913745880127"
"8","0.5219559669494629","0.5219559669494629","0.5219559669494629"
"9","-0.2651185989379883","-0.2651185989379883","-0.2651185989379883"
"10","-0.168670654296875","-0.168670654296875","-0.168670654296875"
"11","-0.3237767219543457","-0.3237767219543457","-0.3237767219543457"
"13","-0.6947283744812012","-0.6947283744812012","-0.6947283744812012"
"14","0.09824085235595703","0.09824085235595703","0.09824085235595703"
"15","0.43292236328125","0.43292236328125","0.43292236328125"
"16","0.30884790420532227","0.30884790420532227","0.30884790420532227"
"17","-0.26461362838745117","-0.26461362838745117","-0.26461362838745117"
"18","0.027523517608642578","0.027523517608642578","0.027523517608642578"
"20","0.7693185806274414","0.7693185806274414","0.7693185806274414"
"21","0.47545480728149414","0.47545480728149414","0.47545480728149414"
"22","0.8786311149597168","0.8786311149597168","0.8786311149597168"
"23","0.1782817840576172","0.1782817840576172","0.1782817840576172"
"24","0.2935476303100586","0.2935476303100586","0.2935476303100586"
"25","-0.18291997909545898","-0.18291997909545898","-0.18291997909545898"
"27","0.23257160186767578","0.23257160186767578","0.23257160186767578"
"28","-0.31430912017822266","-0.31430912017822266","-0.31430912017822266"
"29","0.08283042907714844","0.08283042907714844","0.08283042907714844"
"30","1.7124295234680176","1.7124295234680176","1.7124295234680176"
"31","0.16171026229858398","0.16171026229858398","0.16171026229858398"
"32","0.19179677963256836","0.19179677963256836","0.19179677963256836"
"34","-0.06590032577514648","-0.06590032577514648","-0.06590032577514648"
"35","-0.6042623519897461","-0.6042623519897461","-0.6042623519897461"
"36","0.4880189895629883","0.4880189895629883","0.4880189895629883"
"37","-0.7875332832336426","-0.7875332832336426","-0.7875332832336426"
